aspecto,dieta,ej_pos,ej_neg
adherencia,ayuno,"['cuando inicié ser vegetariano , seguir tener el mismo problema de salud que tener desde antes , pero a medida que yo ir hacer consiente de él que representar uno buen nutrición ( además de otro práctica de vida tal como ejercicio , meditación , ayuno prolongado e intermitente , técnica de respiración ) mi salud empezar a mejorar mucho', 'hola borja , él primero , yo gustar felicitar tú por el excelente calidad de tu exposición , ser científico y él agradecer cuando él seguir cierto rigor en el referencia', 'mejorar en el mañana pero seguir']","['y ese que no_dejar no_de no_hacer mi rutina de ejercicio', 'a diario , este mes yo dar el verdad de si mi cuerpo seguir usar grasa o no_y no_saber no_si poder pesar menos de 60 kg', 'estar en uno descontrol total con él dulce y lleno de harina , también fruto de que hacer mucho frío y ese no_yo no_ayudar no_a sostener el ayuno']"
adherencia,flexible,"['para poder tener el mejor seguimiento de ese comida', 'deberiar seguir él el paso a ese app para mejorar mucho el suyo .', 'ánimo para seguir con el idea y mejorar él porque ser top .']","['no_estar no_en no_contra de el dieta flexible , ser uno buen método , pero a mi gusto , el dieta regular y personalizado por mi nutrióloga ser el que seguir', 'yo tú seguir , y él seguir a él , el 100% de mi caloría tratar que provengar de información saludable para yo , y de vez en cuando hacer espacio para uno cerveza o uno perro caliente , no_él no_ver no_el problema , no_promuevas no_ver no_el mundo blanco o negro .', 'en él personal preferir el dieta flexible , sentir que también deberías de investigar él también , también seguir alguno principio de el paleolítica , pero él basar mas bien en el macronutrient ( vitamina , grasa , carbohidrato y proteína ) sin necesariamente limitar tanto en cuanto a el alimento ( aunque aun así haber que tener cuidado con el procesado ) , a menudo con uno plan de entrenamiento unido a el dieta , desgraciadamente ser de cuantificación , él basar en conteo de caloría y porción de acuerdo a el objetivo , aunque haber aplicación que ayudar a ese así que no_haber no_porque no_quejar él , si querer investigar mas sobre el tema recomendar el canal de imparable']"
adherencia,keto,"['al otro día mejor hasta que mi cuerpo seguir funcionar en keto y llevar dos mes haber bajar de peso y también haber reducir pulgada en mi contorno corporal', 'creer el mejor ser asociar o utilizar el dos estilo de vida para ser sostenible en el tiempo .', 'uno saludo manuela ser de méxico para ser exacto del estado de sonora querer que yo d información keto y baja en carbohidrato acerca del problema de gota ácido úrico elevado tener 3 año batallar y yo haber funcionar pero en ocasión él yo hacer mucho forzado estar en cetosis qué tipo de recomendación yo dar y en tu investigación qué alimento yo poder recomendar saludo excelente programación tú seguir   : :   : :   : :']","['* * consideración antes de adoptar el dieta * * - no_todo no_el no_persona ser apto para seguir uno dieta cetogénico , especialmente aquel con problema de colesterol o sin vesícula biliar , que tener dificultad para digerir grasa', 'si uno persona pesar 120 kilo , pero su peso sano ser 80 kilo calcular él sobre ese 80 kilo , es decir , 80 g de proteína al día , entonces buscar uno tabla alimenticio fácilmente en google o cualquiera otro sitio para que yo decir cuántos proteína tener cada alimento , y así entenderer cuál ser el cantidad necesario , por poner uno ejemplo : si 100 g de pollo , o pavo , o ternera , o cordero , contener al igual que el pescado uno 20 g de proteína por cada 100 g entonces en este caso que hablar deberíar más o menos dividir en el tres comida ese 80 g de proteína , no_ocurrir no_nada no_si yo pasar uno poco , si ocurrir cuando yo quedar corto porque ese ir a crear uno déficit paulatinamente , el fin ser el mismo , que nuestro cuerpo utilizar el grasa como energía en vez de el hidrato de carbono , y posteriormente él volver eficiente , él que él llamar flexibilidad , metabólico , utilizar ambos fuente sin crear ninguno problema , magnífico como siempre maestro , uno placer enorme ver cada uno de tu enseñanza y saber que estar aquí con yo para siempre y así ir a seguir ser , fíjatar el gran familia que has dejar junto a tú , ese hablar por él mismo , uno abrazo enorme para todo familia , el poder del metabolismo y gracia por compartir', 'si ser sostenible o no_depender no_de no_cada quién y de qué objetivo él buscar']"
adherencia,mediterranea,"['excelente video y que seguir el locura .', 'el calidad del esperma ser mejor en hombre que seguir uno dieta mediterráneo universitat rovira i virgili']",['comprobado que el sistema digestivo del ser humano no_ser no_crear no_para comer cerdo y este no_ser no_en no_contra de el dr jaramillo yo él seguir .']
adherencia,paleo,[],"['si el paleolíticos no_ser no_agricultorar no_¿ por qué tomar este que seguir el dieta paleolítico aceite vegetal', 'no_hacer no_falta no_recurrir a el dieta paleo para seguir uno alimentacion saludable', 'yo seguir el estilo paleo ( ya que yo por él menos no_él no_considerar no_uno dieta ) hacer dos mes y haber ver uno baja de peso impresionante sin perdida de masa muscular significativo']"
adherencia,vegana,"[', comer saludable para mejorar nuestro salud o seguir uno tendencia de moda', 'gracias y él seguir para aprender a alimentar yo mucho mejor', 'además cur él mi embarazo con mucho paz <3 y actualmente seguir mejorar con el sabiduría de sadhguru comer solo cuando ser necesario 1 vez al dia y 1 uno bebida como leche de almendra o uno infusion en el mañana : : , el momento de comer él sentir mucho mas gozoso y yo invadir uno profundo sentimiento de gratitud']","['mucho mujer carecer de ácido fólico , tener bebé de bajo peso , o prematuro y no_estar no_saludable no_para seguir lactar', 'obviamente dejar ese dieta para "" comer normalmente "" y terminar con varios problemar y artritis reumatoide todo él cual solucioné bastante bien regresar , sin dar yo cuemta en en principio , a ese dieta de pescado y sin harina tacc que abandoné erróneamente por seguir el "" sentido común "" de no_ir no_contra no_corriente', 'y entonces porque tú él pasa vender producto vitaminico , ese ser tu farmacia ( tu minito de oro ) porque no_decir no_"" no_traguén puro animal y no_necesitar no_mi no_producto "" cada quien que tratar su cuerpo como quiera , al fin y al cabo ser su cuerpo , si querer estar comer carne y su derivado lleno de antibiótico , hormona y como 100 medicamento que él poner pues que él consumar , y quien querer seguir uno alimentación basado en planta que estar bien informado ( sin ver a el anorexica de yovana , que antes ser rawvana y escondiar su enfermedad a través del veganismo y después él usar como mina de oro , lucrar a través del mismo ) obtener todo el nutrient , excluir el vitamina b12 el cual no_ya no_él no_encontrar en el animal , ya que el agua estar tanto contaminado o clorado que ya no_él no_reproducir no_el bacteria que hacer el b12 , pues que seguir uno dieta vegán , yo yo hacer estudio clínico de todo y no_tener no_ninguno no_deficiencia ni yo doler nada , estar a más del 100 con el energía súper elevedar y mi dieta ser basar solo en planta ( obvio , si tomar uno solo suplemento de b12 ) así que cada quien , quien querer informar él , infórmese bien , bendición para todo .']"
costo,ayuno,['excelente app para seguir el consumo calórico él faltar agregar el gasto calórico de el ejercicio de musculación que además ser mucho anticuado'],"['empezar a comer tostada de arroz , que ser menos calórica , más barato y no_él no_romper no_, como el tostada de gluten', 'por cierto ninguno hepatólogo en su sano juicio recomendar ese tipo de dieta con esteatosis hepático pues querer que el hígado funcionar él menos posible porque el gluconeogénesis ser "" mucho costoso "" bioquímicamente , con mucho paso y subproducto mucho tóxico que haber que reconvertir , no_ser no_el no_forma más fisiológico que evolucionar por ese que nuestro dieta él basar principalmente en carbohidrato ( 55%-60% él soler decir ) pues ser muchísimo más "" fácil "" meter el glucosa de el alimento a el sangre que glucós "" fabricado ""', 'jajajajo hacer dieta paleo como 6 mes pero sufriar muchooo por el carbo aunque ser complejo y ahora ser ceto con 80% de grasa 60% de prote y 2.5% de carbo y yo este funcionar super con ayuno intermitente 16/8 , y si efectivamente yo ir mas él ceto ser diabeticar tipo 2 amar el aceite de el ceto de coco ahuacate de oliva y aunque ser cara por que el lacteo ser fermentar queso mas carito no_como no_el no_paleo donde el ghee , huevo organico carne organico y vegetal organico yo saliar mucho caro adema de dificil de conseguir casi teniar que ir a matar el pollo jajajajajar literal ser paleolitico y pues yo funcionar tal ver mas el ceto por el ayuno que en relalidad mato todo mi gana de carbodroga mala y el tam gracias dr frnak su info ser el veldad que siempre triunfa']"
costo,flexible,"['ser uno dieta caro , y que tú dejar comer uno montón , pero uno él sentir mucho mejor', 'excelente , flexible , buen precio para él que ser']","['estaria bn uno precio por el app pero que cobrir mensual por tener macro en gramo o cosa asi ser pesimo el desinstale por completo', 'ser uno pena que no_contar no_el no_ejercicio que él realizar , como musculación en el aspecto de gasto energético', 'ser mucho completo , solo faltar que poner el gasto calorico de el ejercicio , y alguno entrada de alimento no_tener no_valor no_correcto de macro .']"
costo,keto,[],"['el planta òrganica tambien ser ideal y tambien ser costoso pero no_tanto no_como no_el carne organica , y adema poder cultivar él en nuestro propio huerto natural libre de toxina', 'por ese haber carnìvoro que , consciente de él malo que ser el carne industrializado y lacteo corriente , haber decidir criar su propio ganado organico en pasto , pero ese si que salir recontra costoso', 'si quo ser cierto que estar alimentación ir bien para bajar de peso , pero subir bastante el colesterol ( bueno / malo ) , yo él hacer y bajar 10 kg en 7meses , pero haber mucho diferencia entre keto limpio y keto normal , ya que ketir limpio ser bastante más caro puesto que el producto ser de primero calidad']"
costo,paleo,[],"['el tema económico no_ayudar no_, no_pero tener explicación : el industria alimentario no_ecológico no_ser no_poderoso y presionar para poder ofrecer precio más barato', 'ahorita yo encontrar hacer dieta paleo de forma obligada ya que en mi país haber escasez de alimento como : harinas , cereales ( tanto procesado como integral ) él encontrar pan pero no_en no_abundancia no_y mucho costoso , y no_haber no_leche no_', 'el vida paleo ser cara , por el cantidad de animal y marisco que él come , verdura ser barato , fruta de temporada ser barato , fruto seco barato , yo no_él no_si no_hacer bien , pero yo comprar uno proteina de carne para saciar yo , y avez meter patata para llenarme no_él no_si no_el cague ya   : :   con el patata .']"
costo,vegana,['faltar por mejorar y caro'],"['y no_ser no_para no_nada costoso , cuánto salir uno feria cerca de nuestro casa , con mucho verdura y legumbr']"
energía,ayuno,"['6:23 5-autofagia ( destrucción de célula viejo para crear aminoácido o materia primo para crear nuevo célula entre estar célula estar el de colágeno ) , longevidad ( puesto que al hacer ayuno él creer hormona o sustancia como el ampk y el sirtuina que más haber de disminuir el envejecimiento celular , yo hacer tener también más energía durante el día ) y performance cognitiva ( ayuda a que el neurona él comunicar más rápido y mejor ) 7:43 ¿ cuál ser el contra uno sola vez por día', 'además , yo haber sentir con uno poco más de energía y mejor ánimo que cuando hacer ayuno total sin azúcar', 'mi digestión haber mejorar mucho , mi sueño haber mejorar mucho']","['tener uno fuerza y vitalidad que no_tener no_', 'ánimo para el que empezar o sentir que no_poder no_más no_', '7:45 persona ectomorfas ( persona con dificultad para aumentar de peso ) ( ir a tener dificultad para aumentar de masa muscular porque cuando él hacer ayuno como él decir él consumir tejido como fuente de energía ser este uno efecto catabolico claro si él hacer el ayuno de 23/1 el dr recomendar por tanto que ser menos hora ) 8:27 cuidado con tu niveles de energía ( porque omad al ser uno ayuno de 23/1 él necesitar uno dieta de bajo indice glucemico , poco hidrato de carbono , pero haber que consumir mucho más caloría porque el metabolismo al hacer este él acelerar ) 9:47 3-embarazadas ( aún no_haber no_evidencia no_de que ser malo , pero no_bueno no_) no_10:04 4-exigir de más a yo propio organismo ( por el alto nivel de estrés y porque él él exigir de más el producción de energía cuando él hacer ayuno pero no_él no_él no_dar el estimulación para su producción real y no_él no_hacer no_ejercicio , no_él no_tomar no_vitamina ni mineral ; él creer energía forzar a el glandula suprarenal o tiroides él que hacer que él dañir porque no_haber no_abasto no_, por él que haber que consumir para el estres suplementos cómo : •cordyceps , rhodiola , reishi y ashwagandha para el glandula suprarenal']"
energía,flexible,['ánimo para seguir con el idea y mejorar él porque ser top .'],"['todo este no_tener no_que no_ver con el dieta pero si en el generación de uno batería de hormona que tener que ver con el estado de ánimo y el distinto ingestión de el alimento', 'ahora a nivel nutriciónal no_de no_cerca no_ser él mismo , si poner a dos persona uno con dieta limpio ( saludable ) y otro con flexible en el mismo circunstancia estar seguro que el de día limpio obtener muchosejorr resultado , el ciencia ayuda pero el problema en nutrición ser que mucho factor interfieren , el estudils no_poder no_ser no_tanto preciso , genético , edad , sueño , actividad , estrés , motivación ser mucho complicado decir que este funcionar para todo en mi caso no_servir no_, no_y si tu ser uno persona endomorfo o que tener resistencia a el insulina posiblemente no_']"
energía,keto,"['- además , mejorar el energía y el rendimiento cognitivo , ya que evitar el pico de azúcar en sangre que poder afectar el concentración', 'yo cansar más facilmente , cuando volver a el plant-based tener más resistencia y mi estado de ánimo mejorar', 'en keto el concentración ser excelente , el energía ser ilimitado , nada más lejos de el baja de rendimiento de el que hablar este hombre']","['en mi caso , no_sólo no_ser no_estreñimiento , fatiga y malestar físico , también ser el llamado "" keto rash "" ( que ser uno respuesta inmune que consistir en el aparición de granito rojo con mucho comezón y ardor en el zona del tórax y espalda ) y ser uno tanto complicado batallar con ese reacción en mi piel y justo él detener cuando aumentar mi consumo de carbohidrato ( sin exagerar no_) no_, no_por él tanto , salir de cetosis', 'si uno persona pesar 120 kilo , pero su peso sano ser 80 kilo calcular él sobre ese 80 kilo , es decir , 80 g de proteína al día , entonces buscar uno tabla alimenticio fácilmente en google o cualquiera otro sitio para que yo decir cuántos proteína tener cada alimento , y así entenderer cuál ser el cantidad necesario , por poner uno ejemplo : si 100 g de pollo , o pavo , o ternera , o cordero , contener al igual que el pescado uno 20 g de proteína por cada 100 g entonces en este caso que hablar deberíar más o menos dividir en el tres comida ese 80 g de proteína , no_ocurrir no_nada no_si yo pasar uno poco , si ocurrir cuando yo quedar corto porque ese ir a crear uno déficit paulatinamente , el fin ser el mismo , que nuestro cuerpo utilizar el grasa como energía en vez de el hidrato de carbono , y posteriormente él volver eficiente , él que él llamar flexibilidad , metabólico , utilizar ambos fuente sin crear ninguno problema , magnífico como siempre maestro , uno placer enorme ver cada uno de tu enseñanza y saber que estar aquí con yo para siempre y así ir a seguir ser , fíjatar el gran familia que has dejar junto a tú , ese hablar por él mismo , uno abrazo enorme para todo familia , el poder del metabolismo y gracia por compartir', 'sí , el grasa ser el macro más densamente calórico , pero sumar que el grasa y el proteína ser más saciant ; que al no_consumir no_casi no_nada de carbohidrato no_haber no_pico no_de insulina , el nivel de glucosa estar estable , y así el cuerpo no_tener no_bajón no_de energía , que de todo forma él conseguir por el cetona , él mandar menos señal de "" hambre ""']"
